"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5365","Verify tab visibility for Custom staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","12506","verify create Program","chromium","2026-08-11","passed","2026-08-11","","careProgramtwo.spec.ts","",""
"","5240","loginPage","chromium","2026-08-11","passed","2026-08-11","","loginpage.spec.ts","",""
"","6169","Verify tab visibility for OrgAdmin staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","6239","Verify tab visibility for Physician staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","5449","Verify tab visibility for Clinical staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","5466","verify create/import button disable for physician role","chromium","2026-08-11","passed","2026-08-11","","physicianrolelimitation.spec.ts","",""
"","5577","Verify tab visibility for Carecoordinator staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","5381","Verify tab visibility for Marketing staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","5733","verify create Program is visible","chromium","2026-08-11","failed","2026-08-11","","orgadmin.spec.ts","",""
"","5651","verify import Program is not visible","chromium","2026-08-11","passed","2026-08-11","","orgadmin.spec.ts","",""
"","5452","Verify tab visibility for Nurse staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","5436","Verify tab visibility for techAdmin staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","8536","NavigateOnWorkqueue","chromium","2026-08-11","passed","2026-08-11","","loginpage.spec.ts","",""
"","5281","Verify tab visibility for Dietician staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","6907","verify physician role have Readonly permission","chromium","2026-08-11","passed","2026-08-11","","physicianrolelimitation.spec.ts","",""
