"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11599","verify Overview csv Data","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","9948","verify Tabs availability on Protocol Page","chromium","2026-08-27","passed","2026-08-27","","careProgramtwo.spec.ts","",""
"","6585","Verify tab visibility for Dietician staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","5986","Verify tab visibility for Nurse staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","9229","Verify tab visibility for OrgAdmin staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","120144","verify create Program","chromium","2026-08-27","broken","2026-08-27","","careProgramtwo.spec.ts","",""
"","5930","Verify tab visibility for Clinical staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","7474","Verify tab visibility for Marketing staff role","chromium","2026-08-27","failed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","6353","Verify tab visibility for Custom staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","6400","Verify tab visibility for Carecoordinator staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","6903","Verify tab visibility for techAdmin staff role","chromium","2026-08-27","failed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","9704","verify all tabs present","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","9115","Verify tab visibility for Physician staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","128842","verify 30 days health passport report PDF data","chromium","2026-08-27","broken","2026-08-27","","healthpassport.spec.ts","",""
